"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"U.S. Election Assistance Commission","Agency Overall","2020","11","49","21","39"
"Millennium Challenge Corporation","Agency Overall","2020","1","19","19","1"
"Small Business Administration","Agency Overall","2024","1204","6813","7092","925"
"Federal Election Commission","Agency Overall","2019","73","116","127","62"
"Commission of Fine Arts","Agency Overall","2019","0","5","5","0"
"United States International Trade Commission","Agency Overall","2023","16","32","27","21"
"American Battle Monuments Commission","Agency Overall","2020","1","14","15","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","508","15929","14703","1734"
"Consumer Product Safety Commission","Agency Overall","2022","576","459","521","514"
"Federal Election Commission","Agency Overall","2020","61","105","148","18"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","24","45","48","21"
"U.S. Railroad Retirement Board","Agency Overall","2017","11","99","102","8"
"Department of Health and Human Services","Agency Overall","2020","9397","36825","35669","10553"
"American Battle Monuments Commission","Agency Overall","2015","0","5","5","0"
"Central Intelligence Agency","Agency Overall","2020","2628","2896","2622","2902"
"Department of Energy","Agency Overall","2018","483","2073","1893","663"
"National Transportation Safety Board","Agency Overall","2015","519","566","394","691"
"Department of Defense","Agency Overall","2022","23461","54004","52222","25243"
"United States International Trade Commission","Agency Overall","2015","1","31","30","2"
"Federal Election Commission","Agency Overall","2022","8","114","118","4"
"Office of the United States Trade Representative","Agency Overall","2015","23","102","93","32"
"Equal Employment Opportunity Commission","Agency Overall","2022","1275","14040","13263","2052"
"Selective Service System","Agency Overall","2020","0","48","48","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","2","20","22","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","11","106","98","19"
"Office of the Director of National Intelligence","Agency Overall","2016","303","382","363","322"
"Surface Transportation Board","Agency Overall","2015","0","65","65","0"
"Federal Open Market Committee","Agency Overall","2022","0","31","31","0"
"National Railroad Passenger Corporation","Agency Overall","2019","131","213","191","153"
"Department of Transportation","Agency Overall","2023","6657","17136","16458","7335"
"Department of Justice","Agency Overall","2023","83369","110934","144065","50238"
"Environmental Protection Agency","Agency Overall","2018","2808","11364","10442","3730"
"Office of Science and Technology Policy","Agency Overall","2019","63","86","63","86"
"Office of Government Ethics","Agency Overall","2024","6","165","133","38"
"Office of Personnel Management","Agency Overall","2021","422","640","842","220"
"Postal Regulatory Commission","Agency Overall","2021","1","27","27","1"
"National Endowment for the Humanities","Agency Overall","2018","6","49","54","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","20","49","51","18"
"Department of Transportation","Agency Overall","2021","5572","15740","14754","6558"
"Presidio Trust","Agency Overall","2021","1","24","23","2"
"National Credit Union Administration","Agency Overall","2015","2","89","86","5"
"National Aeronautics and Space Administration","Agency Overall","2023","79","1005","1003","81"
"Environmental Protection Agency","Agency Overall","2022","1939","6636","6630","1945"
"National Endowment for the Arts","Agency Overall","2016","1","57","58","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","15","15","0"
"National Transportation Safety Board","Agency Overall","2024","139","703","561","281"
"National Archives and Records Administration","Agency Overall","2015","9361","22555","23591","8325"
"Environmental Protection Agency","Agency Overall","2021","2358","6485","6943","1900"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2024","16412","105725","119453","2684"
"United States Institute of Peace","Agency Overall","2024","17","71","21","67"
"Department of Commerce","Agency Overall","2017","470","2209","2106","573"
"United States International Boundary and Water Commission","Agency Overall","2017","3","53","52","4"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","28","28","0"
"Tennessee Valley Authority","Agency Overall","2016","19","212","213","18"
"Environmental Protection Agency","Agency Overall","2015","2508","10910","11278","2140"
"Postal Regulatory Commission","Agency Overall","2015","0","8","8","0"
"National Mediation Board","Agency Overall","2021","0","20","19","1"
"Department of Labor","Agency Overall","2018","1483","14696","14679","1500"
"Denali Commission","Agency Overall","2019","0","4","4","0"
"National Mediation Board","Agency Overall","2024","3","66","68","1"
"Denali Commission","Agency Overall","2023","0","18","18","0"
"American Battle Monuments Commission","Agency Overall","2021","0","19","19","0"
"Federal Trade Commission","Agency Overall","2020","64","1177","1208","33"
"United States Copyright Office","Agency Overall","2019","6","46","42","10"
"Federal Labor Relations Authority","Agency Overall","2018","5","57","62","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","73","2682","2643","112"
"Department of Justice","Agency Overall","2017","16232","82088","79390","18930"
"United States African Development Foundation","Agency Overall","2020","1","4","4","1"
"National Transportation Safety Board","Agency Overall","2021","296","453","584","165"
"United States Trade and Development Agency","Agency Overall","2015","10","18","6","22"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","7","49","53","3"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","7","6","1"
"U.S. Railroad Retirement Board","Agency Overall","2022","3","63","64","2"
"Federal Deposit Insurance Corporation","Agency Overall","2021","34","312","295","51"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","3","19","8","14"
"National Transportation Safety Board","Agency Overall","2019","899","435","761","573"
"Federal Energy Regulatory Commission","Agency Overall","2016","21","93","92","22"
"National Science Foundation","Agency Overall","2018","278","329","349","258"
"Federal Communications Commission","Agency Overall","2021","52","534","537","49"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","262","138","261","139"
"Postal Regulatory Commission","Agency Overall","2023","0","91","80","11"
"National Indian Gaming Commission","Agency Overall","2017","44","51","75","20"
"Federal Energy Regulatory Commission","Agency Overall","2018","30","129","111","48"
"Millennium Challenge Corporation","Agency Overall","2016","0","30","29","1"
"Department of Energy","Agency Overall","2020","639","1453","1416","676"
"Department of Housing and Urban Development","Agency Overall","2020","1177","2038","1834","1381"
"Peace Corps","Agency Overall","2015","133","248","231","150"
"National Archives and Records Administration","Agency Overall","2024","6410","22590","23893","5107"
"Office of the United States Trade Representative","Agency Overall","2017","32","140","156","16"
"Small Business Administration","Agency Overall","2016","53","1116","1075","94"
"National Mediation Board","Agency Overall","2023","1","31","29","3"
"U.S. Agency for International Development","Agency Overall","2023","428","338","334","432"
"Federal Trade Commission","Agency Overall","2018","57","1441","1459","39"
"Federal Reserve System","Agency Overall","2016","42","728","701","69"
"Selective Service System","Agency Overall","2019","0","62","62","0"
"Small Business Administration","Agency Overall","2021","1595","18127","15238","4484"
"Administrative Conference of the United States","Agency Overall","2022","0","27","27","0"
"Department of Education","Agency Overall","2024","2162","4560","3119","3603"
"Office of Government Ethics","Agency Overall","2019","61","96","125","32"
"National Endowment for the Arts","Agency Overall","2024","12","180","155","37"
"Department of Commerce","Agency Overall","2021","1169","2274","2195","1248"
"Department of Health and Human Services","Agency Overall","2023","13461","46530","47038","12953"
"Commodity Futures Trading Commission","Agency Overall","2022","23","185","202","6"
"National Council on Disability","Agency Overall","2024","3","64","23","44"
"General Services Administration","Agency Overall","2015","174","934","973","135"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","5","27","30","2"
"National Council on Disability","Agency Overall","2017","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2020","271","427","299","399"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","2","0","2","0"
"Presidio Trust","Agency Overall","2017","0","8","8","0"
"National Aeronautics and Space Administration","Agency Overall","2024","81","1560","1459","182"
"Export-Import Bank of the U.S.","Agency Overall","2024","38","165","159","44"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","28","130","69","89"
"Office of National Drug Control Policy","Agency Overall","2021","26","44","46","24"
"Department of Education","Agency Overall","2015","388","2297","2315","370"
"Marine Mammal Commission","Agency Overall","2018","2","7","8","1"
"Federal Labor Relations Authority","Agency Overall","2015","2","85","85","2"
"Office of Special Counsel","Agency Overall","2018","222","189","282","129"
"Postal Regulatory Commission","Agency Overall","2022","1","45","46","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","15","110","52","73"
"United States Postal Service","Agency Overall","2018","160","3150","3116","194"
"Department of Homeland Security","Agency Overall","2017","64328","366036","367545","62819"
"Equal Employment Opportunity Commission","Agency Overall","2018","3719","19065","19134","3650"
"Department of Veterans Affairs","Agency Overall","2020","4476","19053","19323","4206"
"United States Access Board","Agency Overall","2022","1","10","11","0"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0"
"U.S. Department of State","Agency Overall","2020","12866","9019","7041","14844"
"National Labor Relations Board","Agency Overall","2016","434","2679","2819","294"
"Department of Education","Agency Overall","2022","819","2372","1462","1729"
"Federal Housing Finance Agency","Agency Overall","2017","19","172","157","34"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","27","27","0"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","207","207","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","44","79","85","38"
"Department of the Treasury","Agency Overall","2016","1465","12368","12171","1662"
"Farm Credit System Insurance Corporation","Agency Overall","2024","6","51","53","4"
"Consumer Financial Protection Bureau","Agency Overall","2021","137","255","366","26"
"United States International Boundary and Water Commission","Agency Overall","2024","56","79","25","110"
"Peace Corps","Agency Overall","2021","87","112","132","67"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","12","12","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","2","63","54","11"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","4","3","1"
"Armed Forces Retirement Home","Agency Overall","2019","0","7","7","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","32","49","48","33"
"Peace Corps","Agency Overall","2016","150","193","257","86"
"National Railroad Passenger Corporation","Agency Overall","2016","102","234","216","120"
"National Mediation Board","Agency Overall","2022","0","20","19","1"
"Office of Management and Budget","Agency Overall","2024","563","994","493","1064"
"Department of the Interior","Agency Overall","2018","2306","8402","7001","3707"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","17","17","0"
"National Science Foundation","Agency Overall","2021","368","293","257","404"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","1","11","12","0"
"Department of Education","Agency Overall","2023","1730","2816","2385","2161"
"Department of Housing and Urban Development","Agency Overall","2019","1052","2140","2018","1174"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","34","130","108","56"
"National Capital Planning Commission","Agency Overall","2024","0","41","41","0"
"Central Intelligence Agency","Agency Overall","2024","4010","4087","2603","5494"
"Farm Credit Administration","Agency Overall","2015","1","41","42","0"
"Institute of Museum and Library Services","Agency Overall","2020","5","39","42","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","3","3","0"
"Consumer Product Safety Commission","Agency Overall","2017","213","664","617","260"
"Department of Housing and Urban Development","Agency Overall","2023","802","1909","1932","779"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","147","3713","3779","81"
"Denali Commission","Agency Overall","2017","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2019","0","24","24","0"
"Merit Systems Protection Board","Agency Overall","2024","113","219","184","148"
"Office of Science and Technology Policy","Agency Overall","2015","5","99","94","10"
"U.S. International Development Finance Corporation","Agency Overall","2022","73","40","44","69"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","4","55","51","8"
"United States Institute of Peace","Agency Overall","2022","3","4","5","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","5","65","68","2"
"Federal Deposit Insurance Corporation","Agency Overall","2019","14","345","341","18"
"Department of Agriculture","Agency Overall","2021","6857","20956","21815","5998"
"Tennessee Valley Authority","Agency Overall","2023","28","206","177","57"
"Denali Commission","Agency Overall","2018","0","4","4","0"
"Federal Election Commission","Agency Overall","2016","43","129","116","56"
"National Endowment for the Arts","Agency Overall","2020","1","39","39","1"
"Equal Employment Opportunity Commission","Agency Overall","2020","746","16287","15098","1935"
"Department of Commerce","Agency Overall","2016","576","2026","2148","454"
"National Archives and Records Administration","Agency Overall","2018","3286","52850","53101","3035"
"Department of Housing and Urban Development","Agency Overall","2015","409","2230","2180","459"
"Federal Deposit Insurance Corporation","Agency Overall","2016","38","465","481","22"
"Export-Import Bank of the U.S.","Agency Overall","2020","38","79","96","21"
"Federal Maritime Commission","Agency Overall","2017","3","35","33","5"
"Securities and Exchange Commission","Agency Overall","2022","833","10000","9856","977"
"Central Intelligence Agency","Agency Overall","2019","2332","2563","2261","2634"
"National Railroad Passenger Corporation","Agency Overall","2017","120","224","203","141"
"Council on Environmental Quality","Agency Overall","2024","34","420","348","106"
"Department of Labor","Agency Overall","2021","2620","13560","14022","2158"
"Office of Personnel Management","Agency Overall","2020","259","8123","8140","242"
"National Aeronautics and Space Administration","Agency Overall","2015","57","923","923","57"
"Commodity Futures Trading Commission","Agency Overall","2021","9","157","144","22"
"Department of Labor","Agency Overall","2020","2414","15820","15645","2589"
"Department of the Treasury","Agency Overall","2023","3036","10782","10550","3268"
"Small Business Administration","Agency Overall","2019","114","895","923","86"
"Federal Open Market Committee","Agency Overall","2015","8","34","41","1"
"American Battle Monuments Commission","Agency Overall","2022","0","29","29","0"
"Commodity Futures Trading Commission","Agency Overall","2024","5","443","430","18"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","33","33","34","32"
"National Labor Relations Board","Agency Overall","2019","164","1370","1420","114"
"United States Copyright Office","Agency Overall","2018","9","41","44","6"
"Marine Mammal Commission","Agency Overall","2023","5","56","34","27"
"National Credit Union Administration","Agency Overall","2019","19","148","148","19"
"United States Institute of Peace","Agency Overall","2021","4","7","8","3"
"United States International Boundary and Water Commission","Agency Overall","2022","38","30","31","37"
"National Endowment for the Humanities","Agency Overall","2022","5","48","50","3"
"Office of Personnel Management","Agency Overall","2015","333","10720","10854","199"
"Department of the Treasury","Agency Overall","2021","2872","10820","10755","2937"
"Securities and Exchange Commission","Agency Overall","2023","977","9481","9022","1436"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","58","56","2"
"Commission of Fine Arts","Agency Overall","2016","0","6","6","0"
"Department of Health and Human Services","Agency Overall","2019","7712","35358","33817","9253"
"Federal Energy Regulatory Commission","Agency Overall","2022","55","103","84","74"
"Department of Veterans Affairs","Agency Overall","2019","6067","21336","23749","3654"
"Social Security Administration","Agency Overall","2018","728","16427","16631","524"
"Legal Services Corporation","Agency Overall","2022","4","27","29","2"
"National Indian Gaming Commission","Agency Overall","2024","13","74","83","4"
"National Transportation Safety Board","Agency Overall","2018","927","521","549","899"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","31","179","134","76"
"United States African Development Foundation","Agency Overall","2024","14","40","7","47"
"Department of Transportation","Agency Overall","2019","4363","16571","14621","6313"
"Nuclear Regulatory Commission","Agency Overall","2021","92","239","229","102"
"Office of Special Counsel","Agency Overall","2016","238","143","184","197"
"Social Security Advisory Board","Agency Overall","2017","0","1","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","5","36","38","3"
"Federal Deposit Insurance Corporation","Agency Overall","2020","18","371","360","29"
"Office of the United States Trade Representative","Agency Overall","2024","15","136","112","39"
"Federal Trade Commission","Agency Overall","2023","88","1820","1812","96"
"Social Security Administration","Agency Overall","2024","461","12582","11354","1689"
"Administrative Conference of the United States","Agency Overall","2018","0","19","19","0"
"National Credit Union Administration","Agency Overall","2018","8","165","154","19"
"Consumer Financial Protection Bureau","Agency Overall","2022","24","437","380","81"
"Department of Commerce","Agency Overall","2022","1134","1768","1774","1128"
"Department of the Interior","Agency Overall","2015","1001","6792","6757","1036"
"Consumer Financial Protection Bureau","Agency Overall","2023","81","510","537","54"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","18","4","14"
"Surface Transportation Board","Agency Overall","2018","0","42","41","1"
"Institute of Museum and Library Services","Agency Overall","2018","8","33","26","15"
"National Aeronautics and Space Administration","Agency Overall","2020","76","841","833","84"
"Federal Maritime Commission","Agency Overall","2021","2","30","27","5"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","3","3","0"
"Armed Forces Retirement Home","Agency Overall","2024","1","35","36","0"
"Commodity Futures Trading Commission","Agency Overall","2015","35","228","204","59"
"Advisory Council on Historic Preservation","Agency Overall","2020","8","12","19","1"
"Department of Defense","Agency Overall","2015","11704","57498","56507","12695"
"Merit Systems Protection Board","Agency Overall","2021","55","172","171","56"
"Tennessee Valley Authority","Agency Overall","2018","16","222","212","26"
"Marine Mammal Commission","Agency Overall","2017","0","10","8","2"
"Department of Energy","Agency Overall","2017","396","2215","2127","484"
"National Archives and Records Administration","Agency Overall","2021","3511","7725","6867","4369"
"General Services Administration","Agency Overall","2024","565","1661","1632","594"
"Farm Credit Administration","Agency Overall","2017","1","26","27","0"
"Department of the Interior","Agency Overall","2024","5194","8305","8426","5073"
"Securities and Exchange Commission","Agency Overall","2021","641","12363","12171","833"
"National Council on Disability","Agency Overall","2019","0","12","11","1"
"Postal Regulatory Commission","Agency Overall","2020","0","37","36","1"
"Council on Environmental Quality","Agency Overall","2018","42","167","156","53"
"Office of the National Cyber Director","Agency Overall","2023","0","6","6","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","9","102","109","2"
"Department of Transportation","Agency Overall","2018","5459","15049","16082","4426"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","25","25","0"
"Armed Forces Retirement Home","Agency Overall","2023","1","12","12","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","6","28","19","15"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","3","19","20","2"
"Millennium Challenge Corporation","Agency Overall","2019","3","27","28","2"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","1","1","0"
"United States Access Board","Agency Overall","2023","0","20","19","1"
"National Endowment for the Arts","Agency Overall","2023","0","62","50","12"
"Peace Corps","Agency Overall","2024","74","320","331","63"
"Federal Reserve System","Agency Overall","2021","53","637","654","36"
"Commission of Fine Arts","Agency Overall","2023","0","25","25","0"
"Federal Election Commission","Agency Overall","2021","18","100","110","8"
"Peace Corps","Agency Overall","2020","134","160","207","87"
"Office of the Director of National Intelligence","Agency Overall","2023","570","386","269","687"
"Legal Services Corporation","Agency Overall","2019","4","22","26","0"
"Office of Management and Budget","Agency Overall","2021","668","280","278","670"
"National Endowment for the Arts","Agency Overall","2018","5","71","76","0"
"Postal Regulatory Commission","Agency Overall","2017","0","38","37","1"
"Department of Homeland Security","Agency Overall","2016","49143","325780","310549","64374"
"Federal Communications Commission","Agency Overall","2023","65","586","535","116"
"Office of Science and Technology Policy","Agency Overall","2017","17","132","109","40"
"Federal Communications Commission","Agency Overall","2015","67","785","745","107"
"U.S. Agency for Global Media","Agency Overall","2019","25","63","74","14"
"U.S. Agency for International Development","Agency Overall","2022","431","326","330","427"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","2","1","4"
"Federal Energy Regulatory Commission","Agency Overall","2023","74","138","94","118"
"Department of Agriculture","Agency Overall","2024","2777","24722","21113","6386"
"Federal Open Market Committee","Agency Overall","2018","1","12","13","0"
"United States Trade and Development Agency","Agency Overall","2021","45","19","10","54"
"Merit Systems Protection Board","Agency Overall","2015","21","165","136","50"
"U.S. Agency for Global Media","Agency Overall","2024","28","173","191","10"
"Surface Transportation Board","Agency Overall","2022","5","90","89","6"
"Consumer Product Safety Commission","Agency Overall","2018","259","554","440","373"
"Federal Labor Relations Authority","Agency Overall","2023","31","222","158","95"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","1","60","52","9"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","5","5","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","26","26","0"
"Marine Mammal Commission","Agency Overall","2019","1","8","7","2"
"Department of Transportation","Agency Overall","2016","3056","13800","11929","4927"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","27","26","1"
"Council on Environmental Quality","Agency Overall","2016","56","104","82","78"
"Small Business Administration","Agency Overall","2023","956","4381","4133","1204"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","4","4","0"
"Department of Health and Human Services","Agency Overall","2016","7672","34232","36190","5714"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","9","45","30","24"
"Department of the Treasury","Agency Overall","2022","2879","10594","10431","3042"
"National Endowment for the Arts","Agency Overall","2022","1","40","41","0"
"Department of Defense","Agency Overall","2018","14194","57032","54323","16903"
"Department of Homeland Security","Agency Overall","2022","68062","539807","506036","101833"
"Millennium Challenge Corporation","Agency Overall","2018","2","23","22","3"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","6","5","1"
"Department of Defense","Agency Overall","2020","18396","54023","50006","22413"
"Office of Government Ethics","Agency Overall","2015","3","70","69","4"
"Environmental Protection Agency","Agency Overall","2020","3095","6891","7665","2321"
"American Battle Monuments Commission","Agency Overall","2018","2","16","18","0"
"Office of Government Ethics","Agency Overall","2017","1","471","329","143"
"United States Access Board","Agency Overall","2021","1","8","8","1"
"National Capital Planning Commission","Agency Overall","2015","0","3","3","0"
"National Capital Planning Commission","Agency Overall","2019","0","8","8","0"
"Social Security Advisory Board","Agency Overall","2018","0","3","3","0"
"Postal Regulatory Commission","Agency Overall","2019","0","15","15","0"
"Federal Election Commission","Agency Overall","2018","72","164","163","73"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","104","104","0"
"U.S. Agency for Global Media","Agency Overall","2023","85","120","178","27"
"Presidio Trust","Agency Overall","2023","0","16","16","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","9","124","121","12"
"Federal Housing Finance Agency","Agency Overall","2023","36","117","84","69"
"Federal Trade Commission","Agency Overall","2021","38","1385","1375","48"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0"
"Office of Government Ethics","Agency Overall","2023","7","112","113","6"
"Federal Housing Finance Agency","Agency Overall","2020","33","120","116","37"
"National Indian Gaming Commission","Agency Overall","2021","4","30","30","4"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","1","1","0"
"Department of Defense","Agency Overall","2021","22283","52805","50703","24385"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","26","123","116","33"
"Tennessee Valley Authority","Agency Overall","2021","36","213","215","34"
"Office of Government Ethics","Agency Overall","2022","12","120","125","7"
"National Transportation Safety Board","Agency Overall","2017","862","437","370","929"
"National Council on Disability","Agency Overall","2020","1","15","16","0"
"Export-Import Bank of the U.S.","Agency Overall","2021","21","64","55","30"
"Department of Homeland Security","Agency Overall","2021","83594","442650","467347","58897"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","13","29","27","15"
"U.S. Agency for Global Media","Agency Overall","2020","14","60","28","46"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","11","11","0"
"National Endowment for the Humanities","Agency Overall","2020","1","137","131","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","2","52","52","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","19","18","1"
"Peace Corps","Agency Overall","2017","87","152","197","42"
"U.S. International Development Finance Corporation","Agency Overall","2024","89","81","45","125"
"National Railroad Passenger Corporation","Agency Overall","2022","276","246","164","358"
"Federal Labor Relations Authority","Agency Overall","2017","0","102","97","5"
"Federal Labor Relations Authority","Agency Overall","2022","4","166","136","34"
"All agencies","Agency Overall","2015","198284","713168","769903","141549"
"All agencies","Agency Overall","2016","129716","788769","759842","158643"
"All agencies","Agency Overall","2017","163586","818272","823223","158635"
"All agencies","Agency Overall","2018","158987","863729","830060","192656"
"All agencies","Agency Overall","2019","199544","858952","877964","180532"
"All agencies","Agency Overall","2020","186146","790688","772869","203965"
"All agencies","Agency Overall","2021","222676","838164","838668","222172"
"All agencies","Agency Overall","2022","234708","928353","878420","284641"
"All agencies","Agency Overall","2023","298452","1199699","1122211","375940"
"All agencies","Agency Overall","2024","388381","1501432","1499265","390548"
