"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","2","2","0"
"Consumer Financial Protection Bureau","Agency Overall","2017","31","538","555","14"
"Peace Corps","Agency Overall","2018","42","137","123","56"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","20","19","1"
"U.S. Election Assistance Commission","Agency Overall","2024","189","98","42","245"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","8","8","0"
"Legal Services Corporation","Agency Overall","2020","0","14","13","1"
"Office of Management and Budget","Agency Overall","2022","670","263","323","610"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","101","98","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","46","26","20"
"Department of Education","Agency Overall","2018","848","3041","2858","1031"
"Office of National Drug Control Policy","Agency Overall","2018","17","112","106","23"
"Peace Corps","Agency Overall","2023","110","265","301","74"
"Federal Communications Commission","Agency Overall","2024","111","977","984","104"
"Office of the Director of National Intelligence","Agency Overall","2015","229","395","321","303"
"Department of Housing and Urban Development","Agency Overall","2018","916","2383","2245","1054"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","2","1","1","2"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","3","3","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","178","1028","873","333"
"Armed Forces Retirement Home","Agency Overall","2018","0","6","6","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","11","10","2"
"Office of Management and Budget","Agency Overall","2017","66","463","248","281"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","74","337","294","117"
"Court Services and Offender Supervision Agency","Agency Overall","2023","11","354","342","23"
"Department of Labor","Agency Overall","2017","1612","15813","15946","1479"
"Department of Energy","Agency Overall","2015","521","2356","2445","432"
"Federal Housing Finance Agency","Agency Overall","2022","21","89","73","37"
"Federal Maritime Commission","Agency Overall","2015","16","35","39","12"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","2","64","65","1"
"Department of Justice","Agency Overall","2020","33731","86729","84442","36018"
"Department of Homeland Security","Agency Overall","2015","117034","281138","348878","49294"
"Office of Special Counsel","Agency Overall","2020","96","144","193","47"
"Department of Defense","Agency Overall","2019","16686","56524","54545","18665"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","1","73","74","0"
"United States Copyright Office","Agency Overall","2015","3","36","34","5"
"National Capital Planning Commission","Agency Overall","2018","0","8","8","0"
"Federal Communications Commission","Agency Overall","2018","87","820","848","59"
"Department of Justice","Agency Overall","2019","26322","95119","88668","32773"
"Commodity Futures Trading Commission","Agency Overall","2016","59","126","168","17"
"U.S. Agency for Global Media","Agency Overall","2021","46","113","77","82"
"Office of the United States Trade Representative","Agency Overall","2021","13","93","97","9"
"Office of National Drug Control Policy","Agency Overall","2023","9","40","36","13"
"National Credit Union Administration","Agency Overall","2024","12","409","384","37"
"Federal Maritime Commission","Agency Overall","2020","2","21","21","2"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","2","0","2"
"Social Security Advisory Board","Agency Overall","2021","1","7","8","0"
"National Endowment for the Humanities","Agency Overall","2021","7","59","61","5"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","81","1639","1651","69"
"United States Postal Service","Agency Overall","2022","354","3894","3986","262"
"Legal Services Corporation","Agency Overall","2018","0","27","23","4"
"United States Postal Service","Agency Overall","2015","243","2651","2680","214"
"U.S. Agency for Global Media","Agency Overall","2022","69","92","77","84"
"Office of the Director of National Intelligence","Agency Overall","2019","549","503","464","588"
"Marine Mammal Commission","Agency Overall","2021","3","11","8","6"
"Department of the Interior","Agency Overall","2022","5184","6407","6182","5409"
"Department of Energy","Agency Overall","2023","1011","2156","1790","1377"
"Securities and Exchange Commission","Agency Overall","2020","599","13300","13258","641"
"National Endowment for the Humanities","Agency Overall","2023","3","38","30","11"
"National Mediation Board","Agency Overall","2016","1","25","26","0"
"Department of Transportation","Agency Overall","2020","6368","14632","15433","5567"
"United States International Trade Commission","Agency Overall","2018","3","34","37","0"
"National Railroad Passenger Corporation","Agency Overall","2023","361","364","550","175"
"Occupational Safety and Health Review Commission","Agency Overall","2023","3","150","137","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","3","51","46","8"
"National Mediation Board","Agency Overall","2017","0","20","20","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","41","41","0"
"Administrative Conference of the United States","Agency Overall","2021","0","41","41","0"
"Federal Maritime Commission","Agency Overall","2016","12","27","36","3"
"Tennessee Valley Authority","Agency Overall","2022","34","211","217","28"
"Court Services and Offender Supervision Agency","Agency Overall","2019","13","258","271","0"
"Federal Energy Regulatory Commission","Agency Overall","2015","23","131","133","21"
"National Science Foundation","Agency Overall","2024","803","424","374","853"
"National Science Foundation","Agency Overall","2023","503","339","158","684"
"Department of the Treasury","Agency Overall","2019","2180","11936","11921","2195"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","49","49","0"
"Small Business Administration","Agency Overall","2015","24","955","926","53"
"Millennium Challenge Corporation","Agency Overall","2024","9","81","58","32"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","4","4","0"
"Federal Open Market Committee","Agency Overall","2017","1","22","22","1"
"Federal Deposit Insurance Corporation","Agency Overall","2017","22","440","442","20"
"United States Postal Service","Agency Overall","2019","194","2972","2960","206"
"Department of the Interior","Agency Overall","2019","3647","7973","6782","4838"
"American Battle Monuments Commission","Agency Overall","2019","0","16","15","1"
"Millennium Challenge Corporation","Agency Overall","2022","2","21","23","0"
"Department of Commerce","Agency Overall","2023","1133","2241","2093","1281"
"United States African Development Foundation","Agency Overall","2016","0","4","4","0"
"Department of the Interior","Agency Overall","2020","4685","5977","5906","4756"
"Office of National Drug Control Policy","Agency Overall","2024","56","92","49","99"
"Inter-American Foundation","Agency Overall","2018","1","11","11","1"
"Department of Defense","Agency Overall","2023","25357","60109","55731","29735"
"Legal Services Corporation","Agency Overall","2021","1","25","22","4"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","11","39","44","6"
"U.S. Railroad Retirement Board","Agency Overall","2016","10","98","97","11"
"National Aeronautics and Space Administration","Agency Overall","2019","64","812","800","76"
"National Archives and Records Administration","Agency Overall","2017","4157","60337","61208","3286"
"Department of the Treasury","Agency Overall","2018","1728","12535","12098","2165"
"Office of Personnel Management","Agency Overall","2018","213","10668","10575","306"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","20","19","1"
"Department of the Interior","Agency Overall","2023","5261","7085","7388","4958"
"National Archives and Records Administration","Agency Overall","2023","9969","62505","66064","6410"
"Surface Transportation Board","Agency Overall","2021","0","48","42","6"
"Office of Special Counsel","Agency Overall","2019","130","149","183","96"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","7","7","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","6","37","17","26"
"Federal Maritime Commission","Agency Overall","2019","3","22","23","2"
"Department of Labor","Agency Overall","2023","2325","14282","14219","2388"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","10","10","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","3","53","54","2"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","5","5","0"
"Office of the Director of National Intelligence","Agency Overall","2018","402","498","349","551"
"Federal Trade Commission","Agency Overall","2017","30","1518","1492","56"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","7","1","6"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","28","27","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","10","23","20","13"
"Department of the Interior","Agency Overall","2021","4764","6302","5774","5292"
"United States Trade and Development Agency","Agency Overall","2018","25","22","19","28"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","28","40","14","54"
"Office of Personnel Management","Agency Overall","2017","150","10029","9966","213"
"United States International Trade Commission","Agency Overall","2020","3","30","33","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","11","41","39","13"
